wave,ext(mag/AM),ext(HET_AM),ext(AM=2),atm_trans(AM=1),atm_trans(HET_AM=1.22)
3400,0.6809999999999999,0.83,1.36,0.534,0.4654
3500,0.631,0.77,1.26,0.5589999999999999,0.4919
3600,0.568,0.693,1.14,0.5920000000000001,0.528
3700,0.511,0.623,1.02,0.625,0.5632
3800,0.47100000000000003,0.575,0.94,0.648,0.5889
3900,0.42700000000000005,0.521,0.85,0.675,0.6186
4000,0.374,0.456,0.75,0.7090000000000001,0.6569
4100,0.337,0.41100000000000003,0.67,0.733,0.6847
4200,0.307,0.374,0.61,0.754,0.7083
4300,0.28300000000000003,0.345,0.57,0.7709999999999999,0.7278
4400,0.259,0.316,0.52,0.7879999999999999,0.7472
4500,0.237,0.289,0.47,0.804,0.7662
4600,0.21899999999999997,0.267,0.44,0.818,0.7822
4700,0.203,0.248,0.41,0.8290000000000001,0.7959999999999999
4800,0.191,0.233,0.38,0.838,0.8065
4900,0.18100000000000002,0.221,0.36,0.847,0.8162
5000,0.17300000000000001,0.21100000000000002,0.35,0.853,0.8234
5100,0.16699999999999998,0.203,0.33,0.858,0.8291
5200,0.162,0.198,0.32,0.861,0.8333
5300,0.157,0.191,0.31,0.865,0.8384
5400,0.152,0.185,0.3,0.87,0.8434
5500,0.14800000000000002,0.18100000000000002,0.3,0.873,0.8468
5600,0.146,0.17800000000000002,0.29,0.8740000000000001,0.8490000000000001
5700,0.14300000000000002,0.175,0.29,0.8759999999999999,0.8514
5800,0.141,0.172,0.28,0.878,0.8536
5900,0.134,0.163,0.27,0.884,0.8605
6000,0.12300000000000001,0.151,0.25,0.893,0.8705
6100,0.11,0.134,0.22,0.904,0.8839
6200,0.099,0.121,0.2,0.9129999999999999,0.8946
6300,0.091,0.111,0.18,0.92,0.9028
6400,0.086,0.10400000000000001,0.17,0.924,0.9083
6500,0.083,0.10099999999999999,0.17,0.927,0.9114
6600,0.076,0.092,0.15,0.9329999999999999,0.9184
6700,0.07,0.085,0.14,0.938,0.9244
6800,0.063,0.076,0.13,0.9440000000000001,0.9321
6900,0.055,0.067,0.11,0.951,0.94
7000,0.043,0.053,0.09,0.961,0.9527
